x1,y1,x2,y2,x3,y3,x4,y4
225,1193,224,1060,98,1063,99,1199
365,1188,363,1058,234,1061,234,1194
508,1183,505,1055,373,1058,374,1189
640,1178,637,1053,512,1056,515,1184
773,1174,770,1051,647,1054,650,1179
909,1169,904,1048,777,1051,780,1175
1038,1166,1032,1044,912,1049,917,1171
1164,1162,1159,1042,1041,1045,1046,1167
225,1050,223,923,98,926,99,1053
362,1048,363,924,235,925,234,1049
505,1045,503,921,374,922,373,1046
638,1042,634,918,510,923,513,1045
769,1040,765,916,645,919,648,1043
904,1037,899,913,775,916,778,1040
1033,1035,1028,911,910,914,913,1038
1159,1033,1154,909,1038,912,1043,1036
224,916,225,787,99,786,98,917
363,912,362,786,234,787,235,916
503,910,500,786,373,787,374,913
635,907,632,786,510,787,513,911
765,905,762,786,642,787,646,908
900,903,894,786,773,787,776,906
1028,903,1023,785,905,786,911,906
1155,901,1150,783,1033,785,1038,904
225,776,224,654,98,655,99,777
363,776,362,655,236,656,237,777
501,776,498,655,373,656,374,777
633,775,630,655,509,656,512,776
763,775,760,655,640,656,643,776
895,775,890,655,770,656,773,776
1022,775,1017,655,901,656,906,776
1151,775,1145,655,1029,656,1034,776
225,644,225,524,98,523,99,645
363,644,361,524,236,525,237,645
499,644,496,526,373,527,374,645
630,644,627,526,507,527,510,645
760,644,757,526,638,527,641,645
890,645,885,526,768,527,771,646
1017,645,1012,526,896,527,901,646
1145,645,1140,526,1025,527,1030,646
226,516,225,390,98,389,99,517
363,516,362,393,236,392,237,517
496,516,493,396,372,395,374,517
628,516,625,398,504,397,507,517
758,516,754,400,636,399,639,517
886,518,881,403,766,402,770,519
1013,518,1008,405,892,404,897,519
1140,518,1135,407,1020,406,1025,519
226,380,225,262,97,261,99,379
363,383,362,266,236,265,237,381
494,385,491,269,372,268,373,384
626,388,623,272,502,271,505,387
756,390,753,274,634,273,637,389
881,392,876,276,762,275,765,391
1009,394,1004,278,887,277,892,393
1136,396,1131,280,1014,279,1021,396
226,255,225,131,97,127,98,254
363,257,362,136,236,132,237,256
492,261,492,141,371,136,372,258
624,262,619,144,500,141,503,261
754,264,751,149,631,146,634,263
879,265,874,153,760,150,763,266
1005,267,1000,158,883,155,888,266
1131,269,1126,157,1012,154,1015,268
